,L1,L2,L3,L4,L5,M12,tb,mh1,mh2,mAh,mHm,h1bb,h1tt,h1tautau,h1VV,HBresult
0,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-70794.6,2.07321,124.723339,444.436663,449.274477,440.410308,1.17809279,0.953809365,1.17809279,0.996141371,1.0
1,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-72443.6,2.07321,124.850473,449.117275,453.940155,445.168898,1.17417618,0.954932324,1.17417618,0.996313144,1.0
2,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-74131.0,2.07321,124.97466,453.858505,458.665353,449.98621,1.17034077,0.956027103,1.17034077,0.996477384,1.0
3,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-75857.8,2.07321,125.095973,458.661244,463.451007,454.863188,1.16658496,0.957094483,1.16658496,0.99663442,1.0
4,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-77624.7,2.07321,125.214464,463.525495,468.297175,459.799878,1.16290784,0.95813503,1.16290784,0.996784538,1.0
5,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-79432.8,2.07321,125.330208,468.452327,473.204967,464.797401,1.15930769,0.959149526,1.15930769,0.99692805,1.0
6,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-81283.1,2.07321,125.44327,473.442468,478.175158,469.856537,1.15578308,0.960138655,1.15578308,0.99706524,1.0
7,0.134761,0.2956,0.0417317,-0.08504,-0.345209,-83176.4,2.07321,125.553701,478.496064,483.207939,474.977468,1.15233299,0.961102971,1.15233299,0.997196366,1.0
8,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-67608.3,2.07321,124.636197,435.210591,440.053084,430.999656,1.18593681,0.951545089,1.18593681,0.995784969,1.0
9,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-69183.1,2.07321,124.768894,439.77227,444.602297,435.64342,1.18185676,0.952725394,1.18185676,0.995972417,1.0
10,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-70794.6,2.07321,124.898519,444.393475,449.209837,440.344711,1.17786065,0.953876065,1.17786065,0.996151667,1.0
11,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-72443.6,2.07321,125.025136,449.074632,453.876179,445.104002,1.17394722,0.954997813,1.17394722,0.996323059,1.0
12,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-74131.0,2.07321,125.148815,453.8164,458.602036,449.922009,1.17011502,0.956091391,1.17011502,0.996486929,1.0
13,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-75857.8,2.07321,125.269631,458.619669,463.388344,454.799675,1.16636244,0.957157579,1.16636244,0.996643606,1.0
14,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-77624.7,2.07321,125.387635,463.484444,468.235161,459.737047,1.16268856,0.958196945,1.16268856,0.996793378,1.0
15,0.134844,0.295635,0.0417763,-0.084092,-0.34425100000000003,-79432.8,2.07321,125.502901,468.411793,473.143596,464.735246,1.15909165,0.95921027,1.15909165,0.996936553,1.0
16,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-66069.3,2.07321,124.675759,430.662999,435.495056,426.345166,1.18986143,0.950404519,1.18986143,0.995600421,1.0
17,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-67608.3,2.07321,124.811062,435.166473,439.987433,430.932939,1.18569897,0.951614045,1.18569897,0.99579602,1.0
18,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-69183.1,2.07321,124.943226,439.728709,444.537319,435.577414,1.18162204,0.952793126,1.18162204,0.995983064,1.0
19,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-70794.6,2.07321,125.072327,444.350464,449.145525,440.27941,1.17762909,0.95394258,1.17762909,0.996161922,1.0
20,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-72443.6,2.07321,125.198431,449.032163,453.812528,445.039399,1.17371885,0.955063118,1.17371885,0.996332934,1.0
21,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-74131.0,2.07321,125.321607,453.774467,458.539041,449.858098,1.16988985,0.956155496,1.16988985,0.996496436,1.0
22,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-75857.8,2.07321,125.44193,458.578264,463.326,454.73645,1.16614049,0.957220493,1.16614049,0.996652756,1.0
23,0.134926,0.295669,0.041820300000000005,-0.0831479,-0.343298,-77624.7,2.07321,125.559449,463.443561,468.173462,459.674501,1.16246985,0.958258679,1.16246985,0.996802181,1.0
24,0.135008,0.295704,0.04186380000000001,-0.0822078,-0.342348,-64565.4,2.07321,124.712606,426.17303,430.993101,421.745907,1.19386776,0.949234896,1.19386776,0.995407725,1.0
