,L1,L2,L3,L4,L5,M12,tb,mh1,mh2,mAh,mHm,h1bb,h1tt,h1tautau,h1VV,HBresult
29,0.161394,0.301721,0.125921,-0.355585,-0.20813099999999998,-112202.0,2.07321,125.238692,551.747723,547.134444,551.203926,1.11796305,0.970501427,1.11796305,0.998333828,1.0
30,0.161394,0.301721,0.125921,-0.355585,-0.20813099999999998,-114815.0,2.07321,125.325427,557.746788,553.203183,557.228346,1.11534174,0.971202875,1.11534174,0.998408129,1.0
31,0.161394,0.301721,0.125921,-0.355585,-0.20813099999999998,-117490.0,2.07321,125.410204,563.822959,559.347717,563.328977,1.11277566,0.971887462,1.11277566,0.998479174,1.0
32,0.161394,0.301721,0.125921,-0.355585,-0.20813099999999998,-120226.0,2.07321,125.492992,569.971537,565.563316,569.501125,1.11026601,0.972555005,1.11026601,0.998547043,1.0
33,0.161394,0.301721,0.125921,-0.355585,-0.20813099999999998,-123027.0,2.07321,125.573913,576.199047,571.856599,575.751368,1.10780937,0.973206546,1.10780937,0.998611935,1.0
34,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-93325.4,2.07321,124.659863,506.296178,501.031934,505.491905,1.14089059,0.964273715,1.14089059,0.997608976,1.0
35,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-95499.3,2.07321,124.76386,511.727856,506.545671,510.957517,1.13778027,0.965128344,1.13778027,0.997715247,1.0
36,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-97723.7,2.07321,124.865463,517.227812,512.12605,516.490231,1.13473572,0.96596191,1.13473572,0.997816846,1.0
37,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-100000.0,2.07321,124.964738,522.797298,517.77437,522.091338,1.13175545,0.966775023,1.13175545,0.997913982,1.0
38,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-102329.0,2.07321,125.061719,528.436043,523.490385,527.7606,1.12883876,0.967568059,1.12883876,0.998006832,1.0
39,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-104713.0,2.07321,125.156501,534.147335,529.277454,533.50135,1.12598317,0.968341871,1.12598317,0.99809562,1.0
40,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-107152.0,2.07321,125.249085,539.928873,535.133272,539.311308,1.12318905,0.969096534,1.12318905,0.998180474,1.0
41,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-109648.0,2.07321,125.339547,545.78309,541.060331,545.192946,1.1204544,0.969832753,1.1204544,0.998261589,1.0
42,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-112202.0,2.07321,125.427925,551.709982,547.058649,551.14629,1.11777844,0.970550896,1.11777844,0.998339118,1.0
43,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-114815.0,2.07321,125.514254,557.709514,553.12822,557.171334,1.11516036,0.971251331,1.11516036,0.998413205,1.0
44,0.161475,0.301761,0.12600899999999998,-0.35485700000000003,-0.206763,-117490.0,2.07321,125.598633,563.786147,559.273577,563.272582,1.11259748,0.971934921,1.11259748,0.998484045,1.0
