L1,L2,L3,L4,L5,M12,tb
0.161869,0.301956,0.126437,-0.351302,-0.199977,-79432.8,2.07321
0.161869,0.301956,0.126437,-0.351302,-0.199977,-81283.1,2.07321
0.161869,0.301956,0.126437,-0.351302,-0.199977,-83176.4,2.07321
0.161869,0.301956,0.126437,-0.351302,-0.199977,-85113.8,2.07321
0.161869,0.301956,0.126437,-0.351302,-0.199977,-87096.4,2.07321
0.161869,0.301956,0.126437,-0.351302,-0.199977,-89125.1,2.07321
0.161869,0.301956,0.126437,-0.351302,-0.199977,-91201.1,2.07321
0.161869,0.301956,0.126437,-0.351302,-0.199977,-93325.4,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-74131.,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-75857.8,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-77624.7,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-79432.8,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-81283.1,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-83176.4,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-85113.8,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-87096.4,2.07321
0.161946,0.301994,0.12652,-0.350608,-0.19863,-89125.1,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-72443.6,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-74131.,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-75857.8,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-77624.7,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-79432.8,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-81283.1,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-83176.4,2.07321
0.162022,0.302031,0.126603,-0.349918,-0.197287,-85113.8,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-69183.1,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-70794.6,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-72443.6,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-74131.,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-75857.8,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-77624.7,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-79432.8,2.07321
0.162098,0.302069,0.126684,-0.349234,-0.195948,-81283.1,2.07321
0.162173,0.302106,0.126765,-0.348555,-0.194612,-67608.3,2.07321
0.162173,0.302106,0.126765,-0.348555,-0.194612,-69183.1,2.07321
0.162173,0.302106,0.126765,-0.348555,-0.194612,-70794.6,2.07321
